source,provider,id,name,start_utc,url,venue,city,lat,lon,classification
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af43PN,TMU Bold Men's Hockey - 2025-26 Season Pass,2025-10-02T22:15:00Z,https://www.ticketweb.ca/event/tmu-bold-mens-hockey-mattamy-athletic-centre-tickets/14552963,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Hockey
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af44CK,TMU Bold Women's Volleyball - 2025-26 Season Pass,2025-10-23T22:00:00Z,https://www.ticketweb.ca/event/tmu-bold-womens-volleyball-mattamy-athletic-centre-tickets/14555393,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Volleyball / Volleyball
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af44GN,TMU Bold Men's Volleyball - 2025-26 Season Pass,2025-10-23T22:00:00Z,https://www.ticketweb.ca/event/tmu-bold-mens-volleyball-mattamy-athletic-centre-tickets/14555323,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Volleyball / Volleyball
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af430N,TMU Bold Women's Hockey - 2025-26 Season Pass,2025-10-24T16:00:00Z,https://www.ticketweb.ca/event/tmu-bold-womens-hockey-mattamy-athletic-centre-tickets/14552923,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Hockey
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af4f_K,TMU Bold Women's Basketball - 2025-26 Season Pass,2025-10-31T16:00:00Z,https://www.ticketweb.ca/event/tmu-bold-womens-basketball-mattamy-athletic-centre-tickets/14554653,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Basketball
ticketmaster,ticketmaster_discovery,rZ7HnEZ1Af4fbS,TMU Bold Men's Basketball - 2025-26 Season Pass,2025-10-31T16:00:00Z,https://www.ticketweb.ca/event/tmu-bold-mens-basketball-mattamy-athletic-centre-tickets/14554633,Mattamy Athletic Centre,Toronto,43.662302,-79.379993,Sports / Basketball
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZDviASOIgsq6NbawFhz9hJSj,Eyes Wide Shut,2025-12-31T23:30:00Z,,TIFF Lightbox Cinema 4,Toronto,43.646688,-79.39043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZDeUnte27T4e5l7kUU4SSUKF,No Other Choice (Korean w/e.s.t.),2025-12-31T23:45:00Z,,TIFF Lightbox Cinema 3,Toronto,43.646688,-79.39043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBDEHdreZt7WFpZG7HMSd9C,The Voice of Hind Rajab,2026-01-01T00:15:00Z,,TIFF Lightbox Cinema 5,Toronto,43.646688,-79.39043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZB3XBQyLSyv_5-4mCocMkPe,Toronto Raptors vs Denver Nuggets,2026-01-01T00:30:00Z,,Scotiabank Arena,Toronto,43.644056,-79.378859,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBoYiB_ESt2CnvV9nft404G,Toronto Raptors vs Denver Nuggets,2026-01-01T00:30:00Z,,Scotiabank Arena,Toronto,43.644056,-79.378859,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZDvCoZYGR7qZFaQ1-5XpyG9U,Toronto Raptors vs Denver Nuggets,2026-01-01T00:30:00Z,,Scotiabank Arena,Toronto,43.644056,-79.378859,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBEDeETmp4Z8htEcb1rvNDo,Stranger Things 5: The Finale,2026-01-01T01:00:00Z,,TIFF Lightbox Cinema 1,Toronto,43.646688,-79.39043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBqGUoKFXA6ZylaSYzS6E-j,Stranger Things 5: The Finale,2026-01-01T01:00:00Z,,TIFF Lightbox Cinema 2,Toronto,43.646688,-79.39043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBMwOnKEXt2950jFiJSixnn,Meeting Spaces,2025-12-31T20:07:00Z,,Rogers Centre,Toronto,43.641642,-79.390043,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBrrzH5iltCBb7kQ20PDcwm,Toronto Raptors vs Denver Nuggets,2026-01-01T00:30:00Z,,General Use,,43.643925,-79.378323,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZBxBoJtrWoCnFb5IZAJqNQv,PA Starting Lineup Sheet vs Denver,2026-01-01T00:30:00Z,,General Use,,43.643925,-79.378323,
ticketmaster,ticketmaster_discovery,Za5ju3rKuqZDegpo6hqJ4unQSu7kZGC-JB,Courtside Access for Team Warmups vs Denver,2026-01-01T00:30:00Z,,General Use,,43.643925,-79.378323,
